round_num,iterations,depth,white agent,black agent,white_victory,winner,moves_played,remain_w_pieces,remaining_b_pieces,remaining_tot_pieces
1,10,,random_agent,stockfish,False,checkmate: Black wins!,14,14,16,30
2,10,,random_agent,stockfish,False,checkmate: Black wins!,26,10,15,25
3,10,,random_agent,stockfish,False,checkmate: Black wins!,18,13,15,28
4,10,,random_agent,stockfish,False,checkmate: Black wins!,6,16,16,32
5,10,,random_agent,stockfish,False,checkmate: Black wins!,20,14,15,29
6,10,,random_agent,stockfish,False,checkmate: Black wins!,28,10,15,25
7,10,,random_agent,stockfish,False,checkmate: Black wins!,30,7,16,23
8,10,,random_agent,stockfish,False,checkmate: Black wins!,32,8,16,24
9,10,,random_agent,stockfish,False,checkmate: Black wins!,20,13,16,29
10,10,,random_agent,stockfish,False,checkmate: Black wins!,28,11,15,26
1,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,22,12,14,26
2,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,40,8,12,20
3,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,36,9,12,21
4,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,30,9,12,21
5,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,8,15,14,29
6,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,30,8,13,21
7,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,16,11,14,25
8,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,32,11,13,24
9,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,42,5,11,16
10,10,,improved_random_agent,stockfish,False,checkmate: Black wins!,30,10,15,25
